1448697852.94|4|2|2|4000000.000000|3045659.555556
1448697863.0|4|2|2|4000000.000000|4037100.210526
1448697873.06|4|2|2|4000000.000000|3194913.931034
1448697883.12|4|2|2|4000000.000000|2966058.838710
1448697893.18|4|2|2|4000000.000000|2084441.290323
1448697903.25|4|2|2|4000000.000000|1825516.903226
1448697915.33|4|2|2|3500000.000000|1753496.258065
1448697925.39|4|2|2|3500000.000000|1688750.451613
1448697937.5|4|2|2|3000000.000000|1976648.774194
1448697947.56|4|2|2|3000000.000000|1806798.451613
1448697957.62|4|2|2|3000000.000000|2130902.500000
1448697967.68|4|2|2|3000000.000000|2309303.741935
1448697977.74|4|2|2|3000000.000000|1755424.000000
1448697987.8|4|2|2|3000000.000000|1524748.903226
1448697997.86|4|2|2|3000000.000000|1456631.225806
1448698009.94|4|2|2|2500000.000000|1971175.741935
1448698019.98|4|2|2|2500000.000000|2067629.419355
1448698030.04|4|2|2|2500000.000000|2157750.000000
1448698040.1|4|2|2|2500000.000000|2205177.806452
1448698050.16|4|2|2|2500000.000000|2087520.000000
1448698060.22|4|2|2|2500000.000000|2108474.322581
1448698070.28|4|2|2|2500000.000000|1700726.193548
1448698080.34|4|2|2|2500000.000000|1876025.806452
1448698090.42|4|2|2|2500000.000000|1704399.483871
1448698100.48|4|2|2|2500000.000000|2065390.967742
1448698110.55|4|2|2|2500000.000000|1929586.064516
1448698120.63|4|2|2|2500000.000000|1876189.935484
1448698130.7|4|2|2|2500000.000000|1436275.612903
1448698140.76|4|2|2|2500000.000000|1360095.483871
1448698150.84|4|2|2|2500000.000000|1457829.677419
1448698160.91|4|2|2|2500000.000000|1776817.548387
1448698170.99|4|2|2|2500000.000000|2078762.838710
1448698181.06|4|2|2|2500000.000000|2248450.580645
1448698191.12|4|2|2|2500000.000000|1947428.129032
1448698201.18|4|2|2|2500000.000000|1731569.032258
1448698211.25|4|2|2|2500000.000000|1604778.322581
1448698221.31|4|2|2|2500000.000000|1808667.870968
